wait_med,wait_p95,util,cancel_rate,profit_per_hr
0.0,14.994127723143835,76.579011513953,5.979643765903308,18.60750204242449
0.0,6.4588557485932245,80.62505486863229,6.223479490806223,19.210751542956096
0.0,16.923236572053476,64.58275898698446,11.756935270805812,16.156892254873696
0.0,17.481497685275375,89.18318430207809,16.015625,19.907221119005854
0.0,7.100403122844258,57.85949238681194,2.608695652173913,15.382090414113042
0.0,10.844225514289128,68.0078538666799,5.412371134020619,16.955380997745934
0.0,14.135199500854725,74.38802100438959,5.304010349288486,17.63324957326484
0.0,23.778068131295857,87.39530035371052,12.128712871287128,19.535741609432726
0.0,21.894367122227795,65.25730386316641,8.953168044077135,16.298603139461143
0.0,7.322646581864823,60.40673390249861,3.5294117647058822,15.604611936592779
