wait_med,wait_p95,util,cancel_rate,profit_per_hr
0.0,21.549945394454724,48.48472570098808,49.85163204747774,15.537556967574439
0.0,14.213212606552904,43.10879689505029,39.96865203761755,14.14814675868432
0.0,17.734389105349052,44.93445119023594,40.15151515151515,14.358587216375252
0.0,20.77493778096504,38.25304053249661,46.412213740458014,12.360190620015702
0.0,19.645995306678955,50.8556326458068,35.714285714285715,16.225025680569086
0.0,16.700010672264288,41.195543642515034,34.27230046948357,13.204214102477017
0.0,16.433053257072984,48.05538729732759,38.54014598540146,15.735049619537342
0.0,23.069389516854528,51.398853710963046,46.49859943977591,16.286867669655248
0.0,19.347914418992964,43.728459515278374,48.68624420401855,13.98974485909888
0.0,17.02801326041041,47.42187919220537,36.22526636225266,15.276608785410668
0.0,16.79442771347496,43.690047662432754,37.3134328358209,13.801272296351401
0.0,19.094570959501997,51.42682131998292,39.053254437869825,16.502861521467384
0.0,18.264147004917554,43.30438102932545,36.891679748822604,14.23181704449487
0.0,16.44277199267616,52.47997813976421,45.68452380952381,16.989432184464693
0.0,21.763335778533143,46.019112398698894,45.26627218934911,14.953222336978804
0.0,17.45696942998532,39.500618207597256,32.407407407407405,12.64443097727022
0.0,15.738672216676303,48.863274904014645,44.113263785394935,15.581603842532894
0.0,18.310392631515363,43.921612162527275,45.56962025316456,14.239124506265842
0.0,18.549775256682036,41.82776736646783,41.61849710982659,13.084751044496295
0.0,17.38498232199624,42.05301889938744,41.49443561208267,13.702745801953713
0.0,20.2152322382002,45.11877607818613,45.023696682464454,14.416103618356297
0.0,19.713089582074378,47.30751368594975,47.81954887218045,15.180399037923493
0.0,17.42535600441318,37.944498565326924,35.202492211838006,12.344899074251714
0.0,21.41334312236781,44.14894723010591,44.375,14.230529106324113
0.0,15.169160353649346,47.65602853764394,38.341158059467915,15.577832922564806
0.0,23.414145757412005,48.22627621403125,43.956043956043956,15.389607462306518
0.0,21.118683821202826,51.76343749168905,49.3939393939394,16.315420688513328
0.0,24.668971580605028,48.720577373068316,47.63358778625954,15.674408651153211
0.0,20.113812517857426,44.84225974449565,37.359550561797754,14.458788477646946
0.0,19.819078328232234,44.75491102980414,40.17991004497751,14.439481866432523
